Miền,Lãnh thổ,Thành phố
Bắc,Tây Bắc Bộ,Lào Cai
,,Yên Bái
,,Điện Biên
,,Hòa Bình
,,Lai Châu
,,Sơn La
,Đông Bắc Bộ,Hà Giang
,,Cao Bằng
,,Bắc Kạn
,,Lạng Sơn
,,Tuyên Quang
,,Thái Nguyên
,,Phú Thọ
,,Bắc Giang
,,Quảng Ninh
,Đồng bằng sông Hồng,Bắc Ninh
,,Hà Nam
,,Hà Nội
,,Hải Dương
,,Hải Phòng
,,Hưng Yên
,,Nam Định
,,Ninh Bình
,,Thái Bình
,,Vĩnh Phúc
Trung,Bắc Trung Bộ,Thanh Hóa
,,Nghệ An
,,Hà Tĩnh
,,Quảng Bình
,,Quảng Trị
,,Thừa Thiên - Huế
,Nam Trung Bộ,Đà Nẵng
,,Quảng Nam
,,Quảng Ngãi
,,Bình Định
,,Phú Yên
,,Khánh Hòa 
,,Ninh Thuận
,,Bình Thuận
,Tây Nguyên,Kon Tum
,,Gia Lai
,,Đắk Lắk
,,Đắk Nông
,,Lâm Đồng
Nam,Đông Nam Bộ,Bình Phước
,,Bình Dương
,,Đồng Nai
,,Tây Ninh
,,Bà Rịa - Vũng Tàu
,,Hồ Chí Minh
,Đồng bằng sông Cửu Long,Long An
,,Đồng Tháp
,,Tiền Giang
,,An Giang
,,Bến Tre
,,Vĩnh Long
,,Trà Vinh
,,Hậu Giang
,,Kiên Giang
,,Sóc Trăng
,,Bạc Liêu
,,Cà Mau
,,Cần Thơ